TBLID,GEOID,GEONAME,PROFLN,TITLE,ESTIMATE_1,MG_ERROR_1,ESTIMATE_2,MG_ERROR_2,ESTIMATE_3,MG_ERROR_3,ESTIMATE_4,MG_ERROR_4,ESTIMATE_5,MG_ERROR_5,ESTIMATE_6,MG_ERROR_6,ESTIMATE_7,MG_ERROR_7,ESTIMATE_8,MG_ERROR_8,OCC_CODE,OCC_DESCRIPTION
EEOALL10W,C2100US,United States - Place of Work,4.9,Female,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,5,Number,"7,390",+/-796,"1,575",+/-421,"2,145",+/-303,"2,880",+/-545,45,+/-77,290,+/-108,190,+/-122,260,+/-104,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,6,Percent,20.2,+/-1.9,4.3,+/-1.1,5.9,+/-0.8,7.9,+/-1.4,0.1,+/-0.2,0.8,+/-0.3,0.5,+/-0.3,0.7,+/-0.3,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,6.8,40 to 44 years,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,6.9,"Total, both sexes",,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,7,Number,"2,875",+/-415,660,+/-212,975,+/-207,885,+/-284,40,+/-37,190,+/-93,25,+/-32,95,+/-70,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,8,Percent,7.9,+/-1.1,1.8,+/-0.6,2.7,+/-0.6,2.4,+/-0.8,0.1,+/-0.1,0.5,+/-0.3,0.1,+/-0.1,0.3,+/-0.2,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,8.9,Male,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,9,Number,"1,995",+/-407,535,+/-192,575,+/-152,625,+/-264,30,+/-32,155,+/-80,25,+/-32,55,+/-47,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,10,Percent,5.5,+/-1.1,1.5,+/-0.5,1.6,+/-0.4,1.7,+/-0.7,0.1,+/-0.1,0.4,+/-0.2,0.1,+/-0.1,0.2,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,10.9,Female,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,11,Number,880,+/-208,125,+/-84,400,+/-153,265,+/-133,10,+/-21,35,+/-34,0,+/-27,40,+/-55,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,12,Percent,2.4,+/-0.6,0.3,+/-0.2,1.1,+/-0.4,0.7,+/-0.4,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0.1,+/-0.2,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,12.8,45 to 49 years,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,12.9,"Total, both sexes",,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,13,Number,"4,015",+/-407,800,+/-201,"1,820",+/-254,"1,085",+/-250,0,+/-27,200,+/-83,15,+/-14,95,+/-75,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,14,Percent,11,+/-1.1,2.2,+/-0.5,5,+/-0.7,3,+/-0.7,0,+/-0.1,0.5,+/-0.2,0,+/-0.1,0.3,+/-0.2,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,14.9,Male,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,15,Number,"2,440",+/-370,625,+/-194,"1,045",+/-211,570,+/-195,0,+/-27,135,+/-66,4,+/-2,65,+/-62,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,16,Percent,6.7,+/-1.0,1.7,+/-0.5,2.9,+/-0.6,1.6,+/-0.5,0,+/-0.1,0.4,+/-0.2,0,+/-0.1,0.2,+/-0.2,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,16.9,Female,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,17,Number,"1,575",+/-283,175,+/-84,780,+/-185,515,+/-194,0,+/-27,70,+/-52,10,+/-17,30,+/-43,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,18,Percent,4.3,+/-0.8,0.5,+/-0.2,2.1,+/-0.5,1.4,+/-0.5,0,+/-0.1,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,18.8,50 to 54 years,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,18.9,"Total, both sexes",,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,19,Number,"3,825",+/-554,530,+/-155,"2,130",+/-371,870,+/-349,4,+/-4,220,+/-94,10,+/-11,70,+/-46,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,20,Percent,10.5,+/-1.4,1.5,+/-0.4,5.8,+/-1.0,2.4,+/-0.9,0,+/-0.1,0.6,+/-0.3,0,+/-0.1,0.2,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,20.9,Male,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,21,Number,"2,645",+/-508,350,+/-146,"1,505",+/-336,570,+/-327,0,+/-27,165,+/-85,10,+/-14,50,+/-41,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,22,Percent,7.2,+/-1.3,1,+/-0.4,4.1,+/-0.9,1.6,+/-0.9,0,+/-0.1,0.5,+/-0.2,0,+/-0.1,0.1,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,22.9,Female,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,23,Number,"1,180",+/-217,180,+/-69,625,+/-155,300,+/-123,4,+/-4,55,+/-41,4,+/-4,20,+/-21,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,24,Percent,3.2,+/-0.6,0.5,+/-0.2,1.7,+/-0.4,0.8,+/-0.3,0,+/-0.1,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,24.8,55 to 59 years,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,24.9,"Total, both sexes",,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,25,Number,"3,545",+/-362,470,+/-170,"1,800",+/-269,960,+/-241,10,+/-14,230,+/-73,0,+/-27,75,+/-40,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,26,Percent,9.7,+/-0.9,1.3,+/-0.5,4.9,+/-0.8,2.6,+/-0.6,0,+/-0.1,0.6,+/-0.2,0,+/-0.1,0.2,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,26.9,Male,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,27,Number,"2,220",+/-273,380,+/-165,"1,110",+/-192,480,+/-173,4,+/-16,200,+/-67,0,+/-27,40,+/-28,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,28,Percent,6.1,+/-0.7,1,+/-0.4,3,+/-0.5,1.3,+/-0.5,0,+/-0.1,0.5,+/-0.2,0,+/-0.1,0.1,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,28.9,Female,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,29,Number,"1,325",+/-240,90,+/-54,690,+/-161,480,+/-163,4,+/-2,25,+/-32,0,+/-27,35,+/-29,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,30,Percent,3.6,+/-0.6,0.2,+/-0.1,1.9,+/-0.5,1.3,+/-0.4,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0.1,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,30.8,60 to 69 years,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,30.9,"Total, both sexes",,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,31,Number,"3,705",+/-356,390,+/-169,"2,295",+/-267,750,+/-253,10,+/-16,190,+/-67,20,+/-27,45,+/-29,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,32,Percent,10.1,+/-0.9,1.1,+/-0.5,6.3,+/-0.7,2.1,+/-0.7,0,+/-0.1,0.5,+/-0.2,0.1,+/-0.1,0.1,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,32.9,Male,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,33,Number,"2,520",+/-290,290,+/-125,"1,655",+/-235,415,+/-143,10,+/-15,115,+/-58,20,+/-28,20,+/-18,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,34,Percent,6.9,+/-0.8,0.8,+/-0.3,4.5,+/-0.7,1.1,+/-0.4,0,+/-0.1,0.3,+/-0.2,0.1,+/-0.1,0.1,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,34.9,Female,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,35,Number,"1,185",+/-269,100,+/-93,640,+/-155,335,+/-197,4,+/-27,75,+/-44,4,+/-3,25,+/-25,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,36,Percent,3.2,+/-0.7,0.3,+/-0.3,1.8,+/-0.4,0.9,+/-0.5,0,+/-0.1,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,36.8,70 years and over,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,36.9,"Total, both sexes",,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,37,Number,430,+/-154,35,+/-53,260,+/-114,65,+/-48,0,+/-27,40,+/-31,0,+/-27,35,+/-43,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,38,Percent,1.2,+/-0.4,0.1,+/-0.1,0.7,+/-0.3,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0.1,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,38.9,Male,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,39,Number,360,+/-147,35,+/-53,235,+/-108,55,+/-46,0,+/-27,25,+/-21,0,+/-27,10,+/-14,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,40,Percent,1,+/-0.4,0.1,+/-0.1,0.6,+/-0.3,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,40.9,Female,,,,,,,,,,,,,,,,,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,41,Number,70,+/-43,0,+/-27,25,+/-20,10,+/-13,0,+/-27,15,+/-18,0,+/-27,25,+/-39,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,42,Percent,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,0.1,+/-0.1,3945,Transportation security screeners
EEOALL10W,C2100US,United States - Place of Work,0.8,16 to 39 years,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,1,Number,"583,930","+/-6,678","135,675","+/-3,014","306,140","+/-4,335","78,405","+/-2,473","3,860",+/-530,"39,870","+/-1,602","1,360",+/-301,"18,625","+/-1,152",4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,2,Percent,58.7,+/-0.4,13.6,+/-0.3,30.8,+/-0.3,7.9,+/-0.2,0.4,+/-0.1,4,+/-0.2,0.1,+/-0.1,1.9,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,2.9,Male,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,3,Number,"343,755","+/-4,916","85,605","+/-2,250","174,675","+/-3,142","40,345","+/-1,774","2,185",+/-404,"29,910","+/-1,288",785,+/-225,"10,245",+/-867,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,4,Percent,34.6,+/-0.4,8.6,+/-0.2,17.6,+/-0.3,4.1,+/-0.2,0.2,+/-0.1,3,+/-0.1,0.1,+/-0.1,1,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,4.9,Female,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,5,Number,"240,175","+/-3,533","50,070","+/-2,030","131,465","+/-2,538","38,065","+/-1,539","1,675",+/-323,"9,960",+/-754,570,+/-181,"8,375",+/-744,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,6,Percent,24.2,+/-0.3,5,+/-0.2,13.2,+/-0.2,3.8,+/-0.2,0.2,+/-0.1,1,+/-0.1,0.1,+/-0.1,0.8,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,6.8,40 to 44 years,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,6.9,"Total, both sexes",,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,7,Number,"97,570","+/-2,546","25,875","+/-1,166","44,435","+/-1,689","12,865","+/-1,078",570,+/-175,"11,770",+/-864,170,+/-102,"1,880",+/-345,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,8,Percent,9.8,+/-0.2,2.6,+/-0.1,4.5,+/-0.2,1.3,+/-0.1,0.1,+/-0.1,1.2,+/-0.1,0,+/-0.1,0.2,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,8.9,Male,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,9,Number,"62,245","+/-2,082","17,410","+/-1,034","26,820","+/-1,288","7,550",+/-780,195,+/-104,"9,120",+/-710,55,+/-59,"1,090",+/-244,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,10,Percent,6.3,+/-0.2,1.8,+/-0.1,2.7,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,+/-0.1,0.1,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,10.9,Female,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,11,Number,"35,325","+/-1,293","8,465",+/-713,"17,615","+/-1,065","5,315",+/-553,375,+/-149,"2,650",+/-427,110,+/-86,790,+/-235,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,12,Percent,3.6,+/-0.1,0.9,+/-0.1,1.8,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.1,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,12.8,45 to 49 years,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,12.9,"Total, both sexes",,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,13,Number,"93,895","+/-2,784","20,905","+/-1,128","44,455","+/-1,573","13,320","+/-1,182",520,+/-161,"12,530",+/-810,225,+/-112,"1,945",+/-322,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,14,Percent,9.4,+/-0.3,2.1,+/-0.1,4.5,+/-0.2,1.3,+/-0.1,0.1,+/-0.1,1.3,+/-0.1,0,+/-0.1,0.2,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,14.9,Male,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,15,Number,"55,885","+/-1,653","13,440",+/-855,"23,680","+/-1,004","7,490",+/-874,230,+/-91,"9,810",+/-713,50,+/-42,"1,190",+/-236,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,16,Percent,5.6,+/-0.2,1.4,+/-0.1,2.4,+/-0.1,0.8,+/-0.1,0,+/-0.1,1,+/-0.1,0,+/-0.1,0.1,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,16.9,Female,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,17,Number,"38,010","+/-1,691","7,465",+/-715,"20,775","+/-1,093","5,825",+/-666,290,+/-134,"2,720",+/-366,175,+/-112,755,+/-197,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,18,Percent,3.8,+/-0.2,0.8,+/-0.1,2.1,+/-0.1,0.6,+/-0.1,0,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.1,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,18.8,50 to 54 years,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,18.9,"Total, both sexes",,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,19,Number,"88,320","+/-2,096","15,275","+/-1,007","47,535","+/-1,791","10,860",+/-904,305,+/-99,"13,100",+/-876,100,+/-63,"1,145",+/-212,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,20,Percent,8.9,+/-0.2,1.5,+/-0.1,4.8,+/-0.2,1.1,+/-0.1,0,+/-0.1,1.3,+/-0.1,0,+/-0.1,0.1,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,20.9,Male,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,21,Number,"48,010","+/-1,461","9,505",+/-740,"22,820","+/-1,142","5,530",+/-594,130,+/-71,"9,340",+/-688,60,+/-58,625,+/-158,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,22,Percent,4.8,+/-0.1,1,+/-0.1,2.3,+/-0.1,0.6,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,+/-0.1,0.1,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,22.9,Female,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,23,Number,"40,310","+/-1,595","5,770",+/-586,"24,715","+/-1,206","5,335",+/-567,180,+/-69,"3,755",+/-419,40,+/-32,520,+/-150,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,24,Percent,4.1,+/-0.2,0.6,+/-0.1,2.5,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.4,+/-0.1,0,+/-0.1,0.1,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,24.8,55 to 59 years,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,24.9,"Total, both sexes",,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,25,Number,"68,320","+/-1,892","9,420",+/-804,"37,135","+/-1,321","9,345",+/-680,200,+/-85,"11,120",+/-614,155,+/-83,940,+/-249,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,26,Percent,6.9,+/-0.2,0.9,+/-0.1,3.7,+/-0.1,0.9,+/-0.1,0,+/-0.1,1.1,+/-0.1,0,+/-0.1,0.1,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,26.9,Male,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,27,Number,"35,565","+/-1,398","5,420",+/-571,"16,575",+/-884,"4,690",+/-460,30,+/-30,"8,320",+/-538,40,+/-30,490,+/-192,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,28,Percent,3.6,+/-0.1,0.5,+/-0.1,1.7,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,+/-0.1,0,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,28.9,Female,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,29,Number,"32,755","+/-1,226","4,000",+/-490,"20,560",+/-901,"4,660",+/-483,170,+/-79,"2,795",+/-356,115,+/-80,450,+/-175,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,30,Percent,3.3,+/-0.1,0.4,+/-0.1,2.1,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.3,+/-0.1,0,+/-0.1,0,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,30.8,60 to 69 years,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,30.9,"Total, both sexes",,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,31,Number,"53,815","+/-1,600","6,480",+/-726,"31,320","+/-1,185","6,175",+/-502,345,+/-123,"8,935",+/-596,80,+/-64,485,+/-141,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,32,Percent,5.4,+/-0.2,0.7,+/-0.1,3.1,+/-0.1,0.6,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,+/-0.1,0,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,32.9,Male,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,33,Number,"27,225","+/-1,093","3,505",+/-463,"14,025",+/-839,"2,765",+/-338,105,+/-73,"6,520",+/-501,65,+/-62,245,+/-92,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,34,Percent,2.7,+/-0.1,0.4,+/-0.1,1.4,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,+/-0.1,0,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,34.9,Female,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,35,Number,"26,590","+/-1,158","2,970",+/-489,"17,295",+/-828,"3,410",+/-449,240,+/-96,"2,415",+/-345,15,+/-25,245,+/-88,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,36,Percent,2.7,+/-0.1,0.3,+/-0.1,1.7,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.2,+/-0.1,0,+/-0.1,0,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,36.8,70 years and over,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,36.9,"Total, both sexes",,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,37,Number,"8,580",+/-637,915,+/-187,"6,015",+/-538,935,+/-270,20,+/-18,630,+/-166,4,+/-4,70,+/-54,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,38,Percent,0.9,+/-0.1,0.1,+/-0.1,0.6,+/-0.1,0.1,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,38.9,Male,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,39,Number,"4,430",+/-420,625,+/-161,"3,025",+/-367,295,+/-97,10,+/-14,425,+/-144,0,+/-27,50,+/-50,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,40,Percent,0.4,+/-0.1,0.1,+/-0.1,0.3,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,40.9,Female,,,,,,,,,,,,,,,,,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,41,Number,"4,155",+/-464,290,+/-95,"2,990",+/-378,635,+/-236,10,+/-15,205,+/-96,4,+/-4,20,+/-25,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,42,Percent,0.4,+/-0.1,0,+/-0.1,0.3,+/-0.1,0.1,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,4000,Supervisors of food preparation and serving workers
EEOALL10W,C2100US,United States - Place of Work,0.8,16 to 39 years,,,,,,,,,,,,,,,,,4020,Cooks and food preparation workers
EEOALL10W,C2100US,United States - Place of Work,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,4020,Cooks and food preparation workers
EEOALL10W,C2100US,United States - Place of Work,1,Number,"2,166,560","+/-14,865","637,730","+/-8,904","1,040,770","+/-7,750","317,690","+/-4,337","16,350",+/-909,"79,460","+/-2,120","5,350",+/-598,"69,205","+/-2,310",4020,Cooks and food preparation workers
EEOALL10W,C2100US,United States - Place of Work,2,Percent,66,+/-0.2,19.4,+/-0.2,31.7,+/-0.2,9.7,+/-0.1,0.5,+/-0.1,2.4,+/-0.1,0.2,+/-0.1,2.1,+/-0.1,4020,Cooks and food preparation workers
EEOALL10W,C2100US,United States - Place of Work,2.9,Male,,,,,,,,,,,,,,,,,4020,Cooks and food preparation workers
EEOALL10W,C2100US,United States - Place of Work,3,Number,"1,334,665","+/-11,489","405,575","+/-6,613","620,190","+/-5,579","203,410","+/-3,520","9,730",+/-744,"50,215","+/-1,718","3,220",+/-504,"42,325","+/-1,793",4020,Cooks and food preparation workers
EEOALL10W,C2100US,United States - Place of Work,4,Percent,40.6,+/-0.2,12.3,+/-0.2,18.9,+/-0.2,6.2,+/-0.1,0.3,+/-0.1,1.5,+/-0.1,0.1,+/-0.1,1.3,+/-0.1,4020,Cooks and food preparation workers
EEOALL10W,C2100US,United States - Place of Work,4.9,Female,,,,,,,,,,,,,,,,,4020,Cooks and food preparation workers
EEOALL10W,C2100US,United States - Place of Work,5,Number,"831,895","+/-7,382","232,155","+/-4,737","420,580","+/-4,729","114,285","+/-2,501","6,620",+/-503,"29,245","+/-1,192","2,130",+/-344,"26,880","+/-1,250",4020,Cooks and food preparation workers
